query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r31;r29;r32;r33;r30;r28;r9;r24;r26;r25;r10;r7
Deploy a database server that must maintain memory above 50% free at all times,r1;r4;r33;r2;r32;r3;r5
Create a video streaming VM with protection against overheating and fan failures,None
Set up a game server with zero network latency spikes and stable SSH access,r20;r16;r19;r21;r18;r13;r22;r29
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,None
Deploy a critical analytics server with no memory exhaustion risks,r5;r3;r4;r2;r32;r8;r10;r33;r1;r24;r7;r9;r23
Create a high-security server with MTU 1500 enforcement and gateway monitoring,None
Implement a financial trading system with network interface stability guarantees,None
Build a IoT edge node with temperature controls and fan speed safeguards,r13
Deploy a machine learning host protected against CPU overload scenarios,r9;r10;r7;r8;r5;r4;r3;r33
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r33;r25
Create a Kubernetes master node with network error rate monitoring,r30;r28;r25;r33;r27;r29;r31;r26;r19;r21;r24;r23
Setup a blockchain node with DPDK network safeguards and CPU headroom,r33;r25;r27;r24;r26;r30;r28;r5
Implement a real-time streaming service with RX/TX error prevention,r5
Deploy a high-frequency trading system with zero packet drops,r20;r18;r22;r17;r2;r29
Create an AI inference server with memory buffer monitoring,r33;r4;r2;r1;r32;r3;r5;r24;r25;r29
Provision a medical imaging with guaranteed CPU availability,None
Setup a DNS server with ARP consistency and MTU compliance,None
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r33;r32;r4;r1;r5;r24;r2;r3;r31;r29;r30;r28;r25
Implement a backup server with network flap protection,r33;r26;r25;r27;r29;r30;r28;r31;r24
Deploy a video rendering farm with thermal controls and memory safeguards,r4;r5;r2;r3;r33;r32;r1
Setup a mail server with RX error monitoring and buffer protection,r33;r5;r4;r25;r24
Implement a system with CPU utilization guarantees,r9;r4;r7
Deploy a monitoring server with packet integrity safeguards,None
Create a low-latency database cluster with network stability,r29;r20;r22;r26;r25;r21;r19;r31;r27;r30;r28;r33
Provision a node with DPDK optimizations and error detection,r30;r28;r26;r33;r29;r31;r25;r27;r23;r24;r32
Setup a virtualization host with memory buffer guarantees,r4;r5;r33;r32;r2;r1;r3;r15;r25
Implement a system with temperature fail-safes,None
Deploy a mobile backend with SSH access monitoring,r15
Create a distributed cache system with network drop prevention,r29;r31;r23;r33;r24;r28;r30;r26;r32;r25
Provision a big data analytics node with CPU thermal protection,r9;r10;r7;r8;r5
Setup a compliance server with memory usage auditing,r33;r1;r4;r32;r2;r3;r5;r25;r27;r24
Implement a payment gateway with packet integrity checks,None
Create a federated learning node with network buffer guarantees,r33;r25;r24;r29;r27;r26;r28;r30;r23;r31
Provision a quantum computing interface with stability monitoring,None
Setup a AR/VR rendering farm with memory safeguards,r33;r32;r3;r2;r5;r4;r1
Implement a digital twin system with DPDK protections,None
Deploy a edge computing node with fan speed monitoring,r25;r13
Create a smart city IoT hub with network error detection,r26;r28;r30;r25;r29;r33;r31;r27;r21;r19;r24
Provision a robotics control server with CPU guarantees,r5
Setup a satellite ground station with packet loss prevention,None
Implement a weather modeling cluster with thermal controls,None
Deploy a 5G core network element with DPDK optimizations,r27;r25;r26;r30;r28;r29;r33;r24;r31;r23;r21;r19
Deploy a High-Performance Computing (HPC) Cluster with Thermal and Memory safeguards,r33;r5;r3;r4;r25;r32;r29;r2;r26;r27;r24;r1;r28;r30;r23;r10
Provision a Low-Latency Cloud Gaming Platform with Zero Packet Loss,r29;r32;r31;r20;r23;r22
Implement an Autonomous Vehicle Control System with Real-Time network Stability,r26;r29;r30;r28
Implement a Real-Time Video Surveillance System with Frame Loss Prevention,r5;r3;r4
Create a Cloud-Based AI Training Cluster with GPU Utilization Monitoring,None
Setup a Global Content Delivery Network (CDN) with Packet integrity Assurance,r29;r25;r27;r26;r33;r31;r24;r30;r28;r20;r23;r22
Implement a Satellite Communication Hub with Signal Integrity Checks,None
Build a Decentralized Blockchain Network with Consensus Stability,None
Setup an Edge AI Inference Node with Thermal and Memory Safeguards,r5;r4;r33;r3;r2;r32;r1
Deploy a Backup Server with SSH Access and Network Stability,r33;r25;r27;r26;r30;r28
Create an IoT Temperature Sensor Node with Thermal Thresholds,None
Deploy a Static Web Server with MTU and Packet Loss Monitoring,None
Setup a Digital Signage System with Fan Speed Safeguards,None
Create a Home Automation Hub with Stable SSH and Low CPU Load,None
Provision a File Storage Server with Memory and MTU compliance,r2;r33;r4;r1;r32;r3;r5;r25;r24;r29;r27
Setup a Maritime Navigation System with Network Stability,None
Provision a Smart Agriculture IoT Node with Thermal Controls,None
Create a Disaster Recovery Site with Minimal Packet Loss,r32
Deploy a Public Transit Scheduling System with ARP Checks,None
Build a Digital Twin for Industrial Machinery with buffer Monitoring,None
Setup a Cryptocurrency Mining Rig with Thermal Safeguards,None
Create a Wildlife Tracking System with Network Error Detection,r28;r30;r26;r31;r29;r33
Provision a Voice-over-IP (VoIP) Gateway with Packet Integrity,None
Implement a Smart Metering Hub with Memory Stability,r2;r1;r3;r33;r4;r5;r32;r25
Deploy a Quantum Computing Interface with Fan Speed Alerts,r10;r13
Build a Satellite IoT Gateway with MTU Compliance,None
Setup a Telemetry Server for Drones with Low Latency,None
Create a Biometric Authentication System with SSH access,r15
Provision a Genomics Data Processing with CPU Headroom,r9
Deploy a Fleet Management System with No Rx Errors,None
Implement a Smart Lighting Controller with Thermal Limits,None
Build a Hydroponics Monitoring Node with Network Stability,None
Setup a E-Commerce API Gateway with MTU Enforcement,None
Create a Robotics Simulation with memory Guarantees,r4;r33;r1;r5;r2;r32;r3;r15;r25
Provision a Spacecraft Telemetry Relay with DPDK Buffers,r24;r33;r4;r5;r25;r23
Deploy a Waste Management IoT Sensor with Fan Alerts,r16
Implement a Air Traffic Control Backup System with ARP Checks,r33
Build a Nuclear Plant Sensor Network with Zero Packet Loss,r19;r21;r20;r22;r16;r29;r25;r18;r23;r33
Setup a Railway Signaling System with CPU Stability,None
Create a Augmented Reality Classroom with SSH Access,r15
Provision a Wind Turbine Monitoring Node with Thermal Controls,None
Deploy a Underwater Data Acoustic Link with Buffer Protection,r5
Build a Lunar Rover Communication Hub with DPDK Optimizations,r29;r30;r28;r26;r27;r25;r23;r31;r24;r33
Deploy a load balancer with 3GHz of processing capabilites,None
