query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r8;r10;r9;r7;r31;r30;r29;r28;r19;r20;r21;r22;r18;r16;r5;r3
Deploy a database server that must maintain memory above 50% free at all times,r4;r2;r5;r3
Create a video streaming VM with protection against overheating and fan failures,r11;r5;r13;r3;r4;r10;r2;r8;r9
Set up a game server with zero network latency spikes and stable SSH access,r18;r31;r29;r30;r28;r22;r20;r21;r19;r16;r17;r15
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r10;r8;r3;r5;r7;r9;r4;r2
Deploy a critical analytics server with no memory exhaustion risks,r3;r5;r2;r4;r32;r8;r10;r9;r7;r6;r1;r12
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r16;r17
Implement a financial trading system with network interface stability guarantees,r18;r31;r28;r29;r19;r30;r16;r22;r21;r20;r15;r17;r10;r33;r8;r25;r23;r24;r27;r26;r9;r7
Build a IoT edge node with temperature controls and fan speed safeguards,r11;r13
Deploy a machine learning host protected against CPU overload scenarios,r10;r8;r3;r5;r7;r9;r4;r2
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r33;r32;r24;r25;r26;r27;r23;r28;r30;r29;r31;r22;r21;r20;r19;r18;r17;r16
Create a Kubernetes master node with network error rate monitoring,r31;r29;r30;r21;r28;r19;r20;r22;r18;r16;r17;r15;r33;r27;r24;r26;r25;r23;r32;r5;r3
Setup a blockchain node with DPDK network safeguards and CPU headroom,r33;r24;r23;r32;r25;r8;r10;r26;r7;r9;r27;r30;r19;r28;r21;r29;r31;r22;r20;r5;r3
Implement a real-time streaming service with RX/TX error prevention,r30;r28;r19;r21;r22;r29;r31;r20;r26;r33;r27;r23;r24;r25;r18
Deploy a high-frequency trading system with zero packet drops,r29;r31;r22;r20;r30;r28;r21;r19;r18;r33;r23;r16;r24;r27;r17;r25;r10;r26;r8;r32;r9;r7
Create an AI inference server with memory buffer monitoring,r3;r5;r2;r4;r32;r24;r33;r25;r23;r8;r10
Provision a medical imaging with guaranteed CPU availability,r10;r8;r3;r5;r7;r9;r4;r2
Setup a DNS server with ARP consistency and MTU compliance,r16;r17
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r30;r28;r21;r19;r3;r18;r5;r4;r2;r16;r17;r32
Implement a backup server with network flap protection,r18;r16;r31;r30;r28;r29;r22;r21;r19;r20;r17;r13
Deploy a video rendering farm with thermal controls and memory safeguards,r11;r3;r5;r13;r2;r4;r10;r32;r6;r8;r7;r9
Setup a mail server with RX error monitoring and buffer protection,r30;r21;r19;r28;r29;r20;r22;r31;r24;r32;r33;r23;r13
Implement a system with CPU utilization guarantees,r10;r8;r9;r7;r5;r3
Deploy a monitoring server with packet integrity safeguards,r31;r22;r29;r20;r30;r21;r28;r19;r12;r13;r11;r33;r25;r23;r24;r18;r26;r27;r16
Create a low-latency database cluster with network stability,r18;r31;r22;r29;r16;r20;r30;r28;r19;r21;r15;r17;r10;r8;r25;r33;r9;r7;r23;r24;r26;r27;r5;r3
Provision a node with DPDK optimizations and error detection,r33;r24;r23;r32;r25;r26;r27;r28;r29;r30;r31;r22;r21;r20;r19
Setup a virtualization host with memory buffer guarantees,r5;r3;r4;r2;r32;r8;r10
Implement a system with temperature fail-safes,r11;r13
Deploy a mobile backend with SSH access monitoring,r15
Create a distributed cache system with network drop prevention,r31;r29;r20;r22;r18;r21;r28;r30;r19;r16;r15;r17;r33;r23;r27;r24;r25;r26
Provision a big data analytics node with CPU thermal protection,r11;r13;r10;r8;r9;r7
Setup a compliance server with memory usage auditing,r5;r3;r4;r2;r32;r8;r10
Implement a payment gateway with packet integrity checks,r33;r31;r30;r29;r28;r27;r26;r25;r24;r23;r22;r21;r20;r19;r18;r17;r16;r15
Create a federated learning node with network buffer guarantees,r33;r32;r23;r24;r25;r29;r30;r31;r28;r26;r27;r22;r21;r20;r19;r18;r16;r17;r15;r5;r3
Provision a quantum computing interface with stability monitoring,r5;r3;r16;r18;r8;r10;r22;r28;r31;r29;r30;r4;r15;r20;r19;r2;r21;r32;r7;r9;r24;r23;r26;r27;r33;r25;r12
Setup a AR/VR rendering farm with memory safeguards,r3;r5;r2;r4;r32;r8;r10;r7;r9
Implement a digital twin system with DPDK protections,r33;r24;r23;r25;r32;r27;r26;r28;r30;r29;r31;r22;r21;r20;r19;r12;r13;r11
Deploy a edge computing node with fan speed monitoring,r12;r13;r11
