query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r10;r8;r9;r7;r31;r29;r30;r28;r22;r21;r19;r16;r20;r18;r5;r3
Deploy a database server that must maintain memory above 50% free at all times,r4;r2;r3;r5
Create a video streaming VM with protection against overheating and fan failures,r13;r5;r11;r3;r4;r2;r10;r8
Set up a game server with zero network latency spikes and stable SSH access,r20;r16;r21;r19;r18;r22;r29;r17;r31;r30;r28;r15
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r8;r10;r5;r3;r7;r9;r4;r2
Deploy a critical analytics server with no memory exhaustion risks,r4;r2;r5;r3;r32;r1;r6;r7;r9;r8;r10
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r17;r16
Implement a financial trading system with network interface stability guarantees,r18;r29;r21;r19;r22;r20;r16;r30;r28;r31;r17;r15;r25;r27;r33;r24;r26;r23
Build a IoT edge node with temperature controls and fan speed safeguards,r13;r11;r10;r3;r8
Deploy a machine learning host protected against CPU overload scenarios,r9;r10;r7;r8;r5;r3;r4;r2
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r33;r32;r23;r24;r25;r27;r26
Create a Kubernetes master node with network error rate monitoring,r30;r28;r29;r31;r19;r21;r22;r20;r16;r18;r25;r33;r27;r26;r17;r15;r24;r23;r32;r5
Setup a blockchain node with DPDK network safeguards and CPU headroom,r33;r24;r23;r25;r32;r8;r10;r27;r26;r7;r9;r30;r28;r29;r31;r19;r21;r20;r22;r5;r3
Implement a real-time streaming service with RX/TX error prevention,r30;r28;r29;r31;r21;r19;r20;r22;r16;r18
Deploy a high-frequency trading system with zero packet drops,r20;r22;r29;r31;r19;r21;r30;r28;r16;r18;r33;r24;r23
Create an AI inference server with memory buffer monitoring,r3;r5;r4;r2;r32;r24;r25;r33;r23
Provision a medical imaging with guaranteed CPU availability,r5;r10;r8;r3;r7;r9;r4;r2
Setup a DNS server with ARP consistency and MTU compliance,r17
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r5;r3;r31;r29;r30;r28;r21;r19;r22;r4;r20;r2;r32;r16;r18
Implement a backup server with network flap protection,r18;r16;r29;r28;r30;r31;r22;r19;r21;r20;r17
Deploy a video rendering farm with thermal controls and memory safeguards,r5;r3;r4;r2;r11;r32;r13;r8;r10;r6;r9;r7
Setup a mail server with RX error monitoring and buffer protection,r28;r30;r21;r19;r33;r24;r32;r23
Implement a system with CPU utilization guarantees,r10;r8;r9;r7;r5;r3
Deploy a monitoring server with packet integrity safeguards,r29;r31;r30;r28;r22;r20;r19;r21;r13;r16;r18;r17;r27;r25;r26;r33
Create a low-latency database cluster with network stability,r29;r20;r22;r19;r21;r31;r30;r28;r16;r18;r17;r26;r25;r27;r33;r24;r23;r15;r32
Provision a node with DPDK optimizations and error detection,r33;r23;r24;r26;r25;r27;r30;r28;r32;r29;r31;r21;r19;r22;r20
Setup a virtualization host with memory buffer guarantees,r4;r2;r5;r3;r32
Implement a system with temperature fail-safes,r11;r13
Deploy a mobile backend with SSH access monitoring,r15
Create a distributed cache system with network drop prevention,r29;r31;r30;r28;r20;r22;r16;r21;r19;r18;r17;r15;r23;r33;r24;r26;r25;r3;r27;r5
Provision a big data analytics node with CPU thermal protection,r8;r11;r10;r13;r7;r3
Setup a compliance server with memory usage auditing,r4;r2;r3;r5;r32
Implement a payment gateway with packet integrity checks,r29;r31;r20;r28;r30;r22;r19;r21;r16;r18;r17;r33;r23;r24;r25;r27;r26
