timestamp,elapsed_sec,host,asset_id,health_score,level_of_trust,historical_average
1781165931.985,30.98,host2,/node[name=host2],100,100.0,100
1781165931.986,30.98,host2,/node[name=host2]/bm,100,100.0,100
1781165931.986,30.98,host2,/node[name=host2]/bm/cpus,100,100.0,100
1781165931.986,30.98,host2,/node[name=host2]/bm/cpus/cpu[name=cpu],100,100.0,100
1781165931.986,30.98,host2,/node[name=host2]/bm/cpus/cpu[name=cpu1],100,100.0,100
1781165931.986,30.98,host2,/node[name=host2]/bm/cpus/cpu[name=cpu0],100,100.0,100
1781165931.986,30.98,host2,/node[name=host2]/bm/sensors,100,100.0,100
1781165931.986,30.98,host2,/node[name=host2]/bm/disks,100,100.0,100
1781165931.987,30.98,host2,/node[name=host2]/bm/disks/disk[name=cgroup2],100,100.0,100
1781165931.987,30.98,host2,/node[name=host2]/bm/disks/disk[name=loop5],100,100.0,100
1781165931.987,30.98,host2,/node[name=host2]/bm/disks/disk[name=sda2],100,100.0,100
1781165931.987,30.98,host2,/node[name=host2]/bm/disks/disk[name=systemd-1],100,100.0,100
1781165931.987,30.98,host2,/node[name=host2]/bm/disks/disk[name=loop3],100,100.0,100
1781165931.987,30.98,host2,/node[name=host2]/bm/disks/disk[name=loop4],100,100.0,100
1781165931.987,30.98,host2,/node[name=host2]/bm/disks/disk[name=loop0],100,100.0,100
1781165931.987,30.98,host2,/node[name=host2]/bm/disks/disk[name=loop1],100,100.0,100
1781165931.987,30.98,host2,/node[name=host2]/bm/disks/disk[name=loop2],100,100.0,100
1781165931.988,30.98,host2,/node[name=host2]/bm/mem,100,100.0,100
1781165931.988,30.98,host2,/node[name=host2]/bm/proc,100,100.0,100
1781165931.988,30.98,host2,/node[name=host2]/bm/net,100,100.0,100
1781165931.988,30.98,host2,/node[name=host2]/bm/net/if[name=docker0],100,100.0,100
1781165931.988,30.98,host2,/node[name=host2]/bm/net/if[name=br-858e2815bf25],100,100.0,100
1781165931.988,30.98,host2,/node[name=host2]/bm/net/if[name=enp0s9],100,100.0,100
1781165931.988,30.98,host2,/node[name=host2]/bm/net/if[name=lo],100,100.0,100
1781165931.988,30.98,host2,/node[name=host2]/bm/net/if[name=enp0s8],100,100.0,100
1781165931.988,30.98,host2,/node[name=host2]/bm/net/if[name=enp0s3],100,100.0,100
1781165940.909,39.91,host2,/node[name=host2],100,100.0,100.0
1781165940.909,39.91,host2,/node[name=host2]/bm,100,100.0,100.0
1781165940.909,39.91,host2,/node[name=host2]/bm/cpus,100,100.0,100.0
1781165940.909,39.91,host2,/node[name=host2]/bm/cpus/cpu[name=cpu],100,100.0,100.0
1781165940.909,39.91,host2,/node[name=host2]/bm/cpus/cpu[name=cpu1],100,100.0,100.0
