timestamp,elapsed_sec,host,message_id,kafka_processing_time_ms,kg_mapping_time_ms,kg_load_time_ms,kg_total_time_ms,end_to_end_time_ms
1781165932.523,31.52,host2,1781165930537733321,3.603,515.877,18.416,534.293,537.897
1781165941.453,40.45,host2,1781165940597156591,4.133,519.13,21.081,540.211,544.345
1781165951.601,50.6,host2,1781165950638454612,4.356,559.474,22.97,582.445,586.803
1781165961.545,60.54,host2,1781165960668957328,2.916,527.831,22.247,550.078,552.995
1781165971.653,70.65,host2,1781165970718295383,2.421,526.808,27.114,553.922,556.345
1781165981.846,80.84,host2,1781165980760699338,2.791,633.572,23.66,657.232,660.026
1781165991.859,90.86,host2,1781165990814419167,2.234,563.698,19.609,583.307,585.542
1781166001.954,100.95,host2,1781166000866268666,2.839,597.247,25.389,622.636,625.477
1781166012.051,111.05,host2,1781166010910985939,3.221,639.495,20.525,660.019,663.243
1781166022.072,121.07,host2,1781166020959800625,3.028,661.05,24.354,685.404,688.434
1781166032.424,131.42,host2,1781166031051886386,4.802,856.937,24.54,881.477,886.282
1781166042.147,141.14,host2,1781166041081484123,2.801,624.217,27.158,651.375,654.178
1781166052.153,151.15,host2,1781166051137474502,2.61,640.37,24.257,664.628,667.239
1781166062.242,161.24,host2,1781166061180396019,2.625,630.797,22.344,653.141,655.768
1781166072.256,171.25,host2,1781166071223790916,4.151,622.133,19.703,641.836,645.99
1781166082.263,181.26,host2,1781166081310215369,3.066,611.275,21.935,633.21,636.278
1781166092.397,191.39,host2,1781166091388655712,2.786,647.188,17.49,664.678,667.466
1781166102.221,201.22,host2,1781166101480967156,2.374,577.178,20.68,597.858,600.234
1781166112.217,211.21,host2,1781166111615627942,2.948,529.503,21.156,550.659,553.608
1781166122.278,221.27,host2,1781166121667740745,2.655,530.225,25.943,556.169,558.825
1781166132.348,231.34,host2,1781166131700976284,2.617,574.993,23.866,598.859,601.478
1781166142.4,241.4,host2,1781166141749817228,2.633,554.681,17.87,572.55,575.185
1781166152.407,251.4,host2,1781166151796857616,2.693,534.756,23.734,558.49,561.185
1781166162.503,261.5,host2,1781166161830228213,2.65,562.627,59.484,622.11,624.762
1781166172.481,271.48,host2,1781166171872692378,2.867,524.101,17.759,541.86,544.728
1781166182.547,281.54,host2,1781166181923182882,3.413,531.821,19.097,550.919,554.333
1781166192.617,291.61,host2,1781166191983066182,2.711,560.245,18.667,578.913,581.625
