timestamp,elapsed_sec,host,asset_id,health_score,level_of_trust,historical_average
1781165931.242,30.24,host1,/node[name=host1],100,100.0,100
1781165931.242,30.24,host1,/node[name=host1]/bm,100,100.0,100
1781165931.242,30.24,host1,/node[name=host1]/bm/cpus,100,100.0,100
1781165931.242,30.24,host1,/node[name=host1]/bm/cpus/cpu[name=cpu],100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/cpus/cpu[name=cpu1],100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/cpus/cpu[name=cpu0],100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/sensors,100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/disks,100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/disks/disk[name=sda2],100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/disks/disk[name=loop4],100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/disks/disk[name=loop2],100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/disks/disk[name=loop1],100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/disks/disk[name=cgroup2],100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/disks/disk[name=loop3],100,100.0,100
1781165931.243,30.24,host1,/node[name=host1]/bm/disks/disk[name=loop0],100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/disks/disk[name=loop5],100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/disks/disk[name=systemd-1],100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/mem,100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/proc,100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/net,100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/net/if[name=docker0],100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/net/if[name=enp0s8],100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/net/if[name=br-858e2815bf25],100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/net/if[name=lo],100,100.0,100
1781165931.244,30.24,host1,/node[name=host1]/bm/net/if[name=enp0s9],100,100.0,100
1781165940.323,39.32,host1,/node[name=host1],100,100.0,100.0
1781165940.323,39.32,host1,/node[name=host1]/bm,100,100.0,100.0
1781165940.323,39.32,host1,/node[name=host1]/bm/cpus,100,100.0,100.0
1781165940.323,39.32,host1,/node[name=host1]/bm/cpus/cpu[name=cpu],100,100.0,100.0
1781165940.323,39.32,host1,/node[name=host1]/bm/cpus/cpu[name=cpu1],100,100.0,100.0
1781165940.323,39.32,host1,/node[name=host1]/bm/cpus/cpu[name=cpu0],100,100.0,100.0
1781165940.323,39.32,host1,/node[name=host1]/bm/sensors,100,100.0,100.0
1781165940.323,39.32,host1,/node[name=host1]/bm/disks,100,100.0,100.0
1781165940.323,39.32,host1,/node[name=host1]/bm/disks/disk[name=sda2],100,100.0,100.0
1781165940.323,39.32,host1,/node[name=host1]/bm/disks/disk[name=loop4],100,100.0,100.0
